Country,Album_Type,Gender,ID
Jacksonville,Group,Unknown,1
Jacksonville,Person,Male,1
Jakarta,Person,Male,1
Jamaica,Group,Unknown,47
Jamaica,Person,Female,27
Jamaica,Person,Male,183
Jamaica,Person,Unknown,8
Japan,Character,Female,2
Japan,Group,Unknown,429
Japan,Person,Female,86
Japan,Person,Male,73
Japan,Person,Unknown,19
Japan,Unknown,Unknown,7
Jersey,Group,Unknown,2
Joplin,Group,Unknown,1
Jordan,Group,Unknown,1
Jordan,Person,Male,2
Kalmar,Group,Unknown,1
Kansas City,Person,Female,2
Kassel,Group,Unknown,1
Kathmandu,Group,Unknown,1
Katowice,Group,Unknown,3
Katrineholm Municipality,Group,Unknown,1
Kaunas,Group,Unknown,1
Kazakhstan,Group,Unknown,1
Kent,Group,Unknown,2
Kent,Person,Male,1
Kentucky,Group,Unknown,1
Kentucky,Person,Female,2
Kenya,Group,Unknown,1
Kerala,Person,Male,1
Kingston,Group,Unknown,4
Kingston,Person,Male,1
Kingston upon Thames,Group,Unknown,1
Knoxville,Group,Unknown,1
Knoxville,Person,Female,1
Knoxville,Person,Male,1
Knysna,Person,Male,1
Kobe,Group,Unknown,1
Koblenz,Group,Unknown,1
Kokkola,Group,Unknown,1
Kosovo,Person,Female,1
Kotka,Group,Unknown,1
Kouvola,Group,Unknown,2
Kraków,Group,Unknown,1
Kristiansand,Group,Unknown,1
Kristiansand,Person,Unknown,1
Kristianstad Municipality,Group,Unknown,1
Kristianstad Municipality,Person,Female,1
Kumamoto,Group,Unknown,1
Kuopio,Group,Unknown,2
Kuopio,Person,Male,1
Kyïv,Group,Unknown,4
La Habana,Person,Male,1
Ladysmith,Choir,Unknown,1
Lahti,Group,Unknown,1
Lake Bluff,Person,Female,1
Lake Forest,Person,Male,1
Lake Oswego,Person,Female,1
Lancashire,Group,Unknown,1
Lancaster,Group,Unknown,3
Landau,Group,Unknown,1
Landsberg am Lech,Group,Unknown,1
Languedoc-Roussillon,Person,Male,1
Lappeenranta,Group,Unknown,1
Lappi,Group,Unknown,1
Las Vegas,Group,Unknown,2
Las Vegas,Person,Male,2
Latvia,Group,Unknown,32
Latvia,Person,Female,3
Latvia,Person,Male,2
Lawrence,Group,Unknown,1
Lawrence,Person,Female,1
Lawrence,Person,Male,1
Le Havre,Person,Male,1
Lebanon,Group,Unknown,2
Lebanon,Person,Female,4
Lebanon,Person,Male,2
Leeds,Group,Unknown,4
Leipzig,Group,Unknown,4
Leipzig,Person,Male,1
Liechtenstein,Group,Unknown,2
Lille,Group,Unknown,1
Lima,Group,Unknown,1
Lima,Person,Unknown,1
Limousis,Group,Unknown,1
Linköping,Group,Unknown,2
Linz,Group,Unknown,1
Lisbon,Person,Male,1
Lithuania,Group,Unknown,39
Lithuania,Person,Female,5
Lithuania,Person,Male,12
Lithuania,Person,Unknown,4
Lithuania,Unknown,Unknown,1
Little Rock,Group,Unknown,1
Littleton,Group,Unknown,1
Liverpool,Group,Unknown,2
Liverpool,Person,Female,1
Liverpool,Person,Male,1
Ljubljana,Group,Unknown,1
London,Choir,Unknown,2
London,Group,Unknown,31
London,Orchestra,Unknown,1
London,Person,Female,21
London,Person,Male,24
Long Beach,Group,Unknown,1
Long Beach,Person,Male,3
Long Island,Group,Unknown,1
Long Island,Person,Male,1
Long Island City,Group,Unknown,2
Long Island City,Person,Male,1
Lorraine,Group,Unknown,1
Los Alamitos,Group,Unknown,1
Los Angeles,Choir,Unknown,1
Los Angeles,Group,Unknown,66
Los Angeles,Person,Female,25
Los Angeles,Person,Male,62
Los Angeles,Person,Unknown,2
Los Angeles,Unknown,Unknown,1
Louisiana,Group,Unknown,2
Louisiana,Person,Male,7
Lovendegem,Group,Unknown,1
Lubbock,Person,Male,1
Ludwigsburg,Choir,Unknown,1
Luleå,Group,Unknown,2
Luleå,Person,Male,1
Luton,Group,Unknown,1
Luxembourg,Group,Unknown,7
Luxembourg,Person,Female,1
Luxembourg,Person,Male,2
Lynchburg,Person,Male,1
Lyon,Group,Unknown,1
Lysekil Municipality,Group,Unknown,1
Macclesfield,Group,Unknown,1
Macedonia,Group,Unknown,3
Macedonia,Person,Female,1
Macedonia,Person,Male,2
Madagascar,Group,Unknown,1
Madison,Group,Unknown,2
Madison,Person,Female,1
Madison,Person,Male,1
Madison,Unknown,Unknown,1
Madrid,Group,Unknown,4
Madrid,Person,Male,2
Maharashtra,Person,Male,1
Maidenhead,Person,Female,1
Maine,Group,Unknown,1
Mainz,Group,Unknown,1
Mainz,Person,Male,1
Malaysia,Group,Unknown,18
Malaysia,Person,Female,13
Malaysia,Person,Male,10
Malaysia,Unknown,Unknown,1
Mali,Group,Unknown,3
Mali,Person,Female,2
Mali,Person,Male,3
Malibu,Person,Female,1
Malibu,Person,Male,3
Malmö,Group,Unknown,4
Malta,Group,Unknown,7
Malta,Person,Female,4
Malta,Person,Male,5
Malta,Person,Unknown,1
Malvern,Person,Male,1
Manchester,Group,Unknown,3
Manchester,Person,Male,2
Manhattan,Person,Female,1
Manhattan,Person,Male,3
Manitoba,Group,Unknown,1
Mannheim,Group,Unknown,1
Mannheim,Person,Male,1
Mansfield Center,Person,Male,1
Maplewood,Person,Male,1
Marlborough,Group,Unknown,1
Marseille,Person,Female,1
Marseille,Person,Male,1
Martinique,Person,Female,2
Martinique,Person,Male,2
Maryland,Group,Unknown,1
Massachusetts,Group,Unknown,3
Massachusetts,Person,Female,1
Maui County,Person,Female,1
Mazatlan,Group,Unknown,1
McAllen,Group,Unknown,1
McAllen,Person,Female,1
McKinney,Group,Unknown,1
Melbourne,Group,Unknown,21
Melbourne,Person,Female,2
Melbourne,Person,Male,7
Memphis,Group,Unknown,1
Memphis,Person,Female,1
Memphis,Person,Male,2
Merimbula,Person,Male,1
Mesa,Group,Unknown,1
Metzingen,Group,Unknown,1
Mexico,Group,Unknown,207
Mexico,Person,Female,60
Mexico,Person,Male,82
Mexico,Person,Unknown,7
Mexico,Unknown,Unknown,7
Miami,Group,Unknown,6
Miami,Person,Male,4
Miami Beach,Person,Male,2
Michigan,Group,Unknown,2
Michigan,Person,Female,1
Michoacán,Group,Unknown,1
Middletown,Person,Male,1
Milan,Group,Unknown,1
Milan,Person,Female,1
Millville,Group,Unknown,1
Milwaukee,Group,Unknown,4
Minas Gerais,Group,Unknown,3
Minety,Person,Male,1
Minneapolis,Group,Unknown,8
Minneapolis,Person,Female,2
Minneapolis,Person,Male,9
Minneapolis,Unknown,Unknown,2
Minnesota,Group,Unknown,1
Minnesota,Person,Female,1
Minnesota,Person,Unknown,1
Minsk,Group,Unknown,1
Mishawaka,Group,Unknown,1
Mississauga,Group,Unknown,1
Mississippi,Group,Unknown,1
Mississippi,Person,Male,3
Mistelbach,Group,Unknown,1
Modena,Group,Unknown,1
Moldova,Group,Unknown,5
Moldova,Person,Female,2
Moldova,Person,Male,3
Monaco,Person,Female,1
Monaco,Person,Male,1
Monte-Carlo,Person,Female,1
Montenegro,Person,Male,1
Montpellier,Group,Unknown,2
Montreal,Group,Unknown,19
Montreal,Person,Female,2
Montreal,Person,Male,4
Montreuil,Group,Unknown,1
Montserrat,Person,Male,1
Moorpark,Group,Unknown,1
Moose Jaw,Person,Female,1
Morocco,Group,Unknown,1
Morocco,Person,Female,3
Morocco,Person,Male,3
Moskva,Group,Unknown,6
Moskva,Unknown,Unknown,1
Mozambique,Person,Male,1
Mt. Juliet,Person,Male,1
Mumbai,Person,Female,1
Munich,Group,Unknown,4
Munich,Person,Male,2
Murfreesboro,Group,Unknown,1
Málaga,Group,Unknown,1
Mönchengladbach,Person,Male,1
Nagoya,Person,Male,1
Namibia,Person,Female,1
Nancy,Group,Unknown,1
Nancy,Person,Female,1
Nashville,Group,Unknown,11
Nashville,Person,Female,9
Nashville,Person,Male,14
Nashville,Person,Unknown,1
Natal,Group,Unknown,1
Navarra,Unknown,Unknown,1
Nelson City,Group,Unknown,1
Nepal,Person,Male,1
Netherlands,Character,Male,1
Netherlands,Character,Unknown,2
Netherlands,Group,Unknown,405
Netherlands,Orchestra,Unknown,1
Netherlands,Person,Female,92
Netherlands,Person,Male,203
Netherlands,Person,Unknown,31
Netherlands,Unknown,Unknown,11
Netherlands Antilles,Person,Female,1
Neuss,Group,Unknown,1
Nevada City,Person,Male,1
New Brunswick,Person,Male,1
New Castle,Group,Unknown,1
New Delhi,Person,Unknown,1
New Hampshire,Person,Male,1
New Jersey,Group,Unknown,11
New Jersey,Person,Male,1
New Mexico,Group,Unknown,1
New Orleans,Group,Unknown,5
