"country","code","name","code_2","count_song","year","gender","count_album","count_artist"
"BR","BRA","Brazil","BR",84,1974,"Male",7,4
"BR","BRA","Brazil","BR",59,1974,"Group",5,1
"BR","BRA","Brazil","BR",9,1975,"Female",1,1
"BR","BRA","Brazil","BR",97,1975,"Male",8,3
"BR","BRA","Brazil","BR",31,1975,"Group",3,0
"BR","BRA","Brazil","BR",44,1976,"Female",4,2
"BR","BRA","Brazil","BR",93,1976,"Male",8,2
"BR","BRA","Brazil","BR",41,1976,"Group",3,0
"BR","BRA","Brazil","BR",31,1977,"Female",3,1
"BR","BRA","Brazil","BR",94,1977,"Male",9,2
"BR","BRA","Brazil","BR",12,1977,"Group",1,1
"BR","BRA","Brazil","BR",32,1978,"Female",3,3
"BR","BRA","Brazil","BR",66,1978,"Male",6,0
"BR","BRA","Brazil","BR",12,1978,"Group",1,3
"BR","BRA","Brazil","BR",31,1979,"Female",3,2
"BR","BRA","Brazil","BR",41,1979,"Male",4,0
"BR","BRA","Brazil","BR",11,1979,"Group",1,2
"BR","BRA","Brazil","BR",50,1980,"Female",4,3
"BR","BRA","Brazil","BR",73,1980,"Male",7,0
"BR","BRA","Brazil","BR",12,1980,"Group",1,5
"BR","BRA","Brazil","BR",18,1981,"Female",2,0
"BR","BRA","Brazil","BR",87,1981,"Male",8,1
"BR","BRA","Brazil","BR",13,1981,"Group",1,7
"BR","BRA","Brazil","BR",36,1982,"Female",2,3
"BR","BRA","Brazil","BR",86,1982,"Male",8,0
"BR","BRA","Brazil","BR",10,1982,"Group",1,7
"BR","BRA","Brazil","BR",10,1983,"Female",1,2
"BR","BRA","Brazil","BR",21,1983,"Male",2,0
"BR","BRA","Brazil","BR",38,1983,"Group",4,6
"BR","BRA","Brazil","BR",10,1984,"Female",1,1
"BR","BRA","Brazil","BR",59,1984,"Male",6,0
"BR","BRA","Brazil","BR",43,1984,"Group",4,7
"BR","BRA","Brazil","BR",11,1985,"Female",1,0
"BR","BRA","Brazil","BR",42,1985,"Male",4,2
"BR","BRA","Brazil","BR",99,1985,"Group",10,6
"BR","BRA","Brazil","BR",16,1986,"Female",1,1
"BR","BRA","Brazil","BR",9,1986,"Male",1,2
"BR","BRA","Brazil","BR",81,1986,"Group",7,5
"BR","BRA","Brazil","BR",33,1987,"Female",3,0
"BR","BRA","Brazil","BR",30,1987,"Male",3,0
"BR","BRA","Brazil","BR",112,1987,"Group",11,3
"BR","BRA","Brazil","BR",21,1988,"Male",2,2
"BR","BRA","Brazil","BR",84,1988,"Group",8,7
"BR","BRA","Brazil","BR",12,1989,"Female",1,2
"BR","BRA","Brazil","BR",43,1989,"Male",4,1
"BR","BRA","Brazil","BR",140,1989,"Group",12,2
"BR","BRA","Brazil","BR",43,1990,"Female",4,0
"BR","BRA","Brazil","BR",8,1990,"Male",1,1
"BR","BRA","Brazil","BR",92,1990,"Group",8,4
"BR","BRA","Brazil","BR",22,1991,"Female",2,0
"BR","BRA","Brazil","BR",45,1991,"Male",4,2
"BR","BRA","Brazil","BR",133,1991,"Group",11,9
"BR","BRA","Brazil","BR",52,1992,"Female",4,1
"BR","BRA","Brazil","BR",54,1992,"Male",4,0
"BR","BRA","Brazil","BR",90,1992,"Group",7,6
"BR","BRA","Brazil","BR",24,1993,"Female",2,2
"BR","BRA","Brazil","BR",103,1993,"Male",7,0
"BR","BRA","Brazil","BR",179,1993,"Group",15,5
"BR","BRA","Brazil","BR",76,1994,"Female",6,0
"BR","BRA","Brazil","BR",102,1994,"Male",7,0
"BR","BRA","Brazil","BR",117,1994,"Group",9,5
"BR","BRA","Brazil","BR",28,1995,"Female",2,1
"BR","BRA","Brazil","BR",128,1995,"Male",9,1
"BR","BRA","Brazil","BR",145,1995,"Group",11,10
"BR","BRA","Brazil","BR",23,1996,"Female",2,0
"BR","BRA","Brazil","BR",43,1996,"Male",3,0
"BR","BRA","Brazil","BR",175,1996,"Group",14,8
"BR","BRA","Brazil","BR",68,1997,"Female",5,0
"BR","BRA","Brazil","BR",104,1997,"Male",8,0
"BR","BRA","Brazil","BR",134,1997,"Group",10,10
"BR","BRA","Brazil","BR",77,1998,"Female",6,0
"BR","BRA","Brazil","BR",54,1998,"Male",4,0
"BR","BRA","Brazil","BR",194,1998,"Group",16,5
"BR","BRA","Brazil","BR",99,1999,"Female",6,0
"BR","BRA","Brazil","BR",62,1999,"Male",4,0
"BR","BRA","Brazil","BR",178,1999,"Group",16,11
"BR","BRA","Brazil","BR",68,2000,"Female",5,0
"BR","BRA","Brazil","BR",90,2000,"Male",6,0
"BR","BRA","Brazil","BR",212,2000,"Group",16,7
"BR","BRA","Brazil","BR",87,2001,"Female",6,0
"BR","BRA","Brazil","BR",49,2001,"Male",4,0
"BR","BRA","Brazil","BR",200,2001,"Group",15,6
"BR","BRA","Brazil","BR",89,2002,"Female",6,0
"BR","BRA","Brazil","BR",30,2002,"Male",2,0
"BR","BRA","Brazil","BR",191,2002,"Group",16,8
"BR","BRA","Brazil","BR",86,2003,"Female",6,0
"BR","BRA","Brazil","BR",37,2003,"Male",3,0
"BR","BRA","Brazil","BR",214,2003,"Group",15,9
"BR","BRA","Brazil","BR",99,2004,"Female",7,0
"BR","BRA","Brazil","BR",58,2004,"Male",4,0
